name,price,link,discounts,product-image
ACTION Klizaljke hard shell ice skate GG,"5.499,99 RSD",https://planetasport.rs/klizaljke-hard-shell-ice-skate-gg-pw-219-wht.html,['-30%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw-219-wht.jpg?v=8312328992']
GEOGRAPHICAL NORWAY jakna coraly black lady 070 pna W,"25.499,99 RSD",https://planetasport.rs/geographical-norway-jakna-coraly-black-lady-070-pna-w-wy4623f-gn.html,"['-40%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/y/wy4623f-gn.jpg?v=19b15d4571']
WINTRO Čizme riella W,"9.999,99 RSD",https://planetasport.rs/wintro-cizme-riella-w-wif233f204-01.html,"['-38%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif233f204-01.jpg?v=14a41175ba']
KANDER Čizme yutmaru W,"9.999,99 RSD",https://planetasport.rs/kander-cizme-yutmaru-w-kaf243f300-01.html,"['-38%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf243f300-01.jpg?v=781af0f31c']
WINTRO Čizme terhi W,"9.499,99 RSD",https://planetasport.rs/wintro-cizme-terhi-w-wif243f301-01.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243f301-01.jpg?v=7de8c1dfbe']
WINTRO Čizme terhi W,"9.499,99 RSD",https://planetasport.rs/wintro-cizme-terhi-w-wif243f301-94.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243f301-94.jpg?v=a6e27901fb']
ACTION Klizaljke ice figure skate W,"6.999,99 RSD",https://planetasport.rs/klizaljke-ice-figure-skate-w-pw-215-2.html,['-30%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw-215-2.jpg?v=e8c65b334e']
WINTRO Čizme riella W,"9.999,99 RSD",https://planetasport.rs/cizme-riella-w-wif233f204-62.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif233f204-62.jpg?v=3333a31faf']
ACTION Klizaljke adjustable ice skate GG,"6.599,99 RSD",https://planetasport.rs/klizaljke-adjustable-ice-skate-gg-pw-223b-163.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw-223b-163.jpg?v=d9e7f5c712']
WINTRO Čizme kinga W,"9.999,99 RSD",https://planetasport.rs/cizme-kinga-w-wif233f301-01.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif233f301-01.jpg?v=2b90848dd6']
SKECHERS Čizme trego 2 W,"11.499,99 RSD",https://planetasport.rs/cizme-trego-2-w-167283-blk.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/6/167283-blk.jpg?v=7918353677']
WINTRO Čizme leah W,"9.999,99 RSD",https://planetasport.rs/wintro-cizme-leah-w-wif243f306-01.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243f306-01.jpg?v=46180afbd2']
ADIDAS Patike vl court bold W,"9.599,99 RSD",https://planetasport.rs/adidas-adidas-patike-vl-court-bold-w-jh5340.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/j/h/jh5340.jpg?v=5538834b1d']
WINTRO Čizme kinga W,"9.999,99 RSD",https://planetasport.rs/cizme-kinga-w-wif233f301-71.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif233f301-71.jpg?v=51b45d1dd2']
SKECHERS Čizme synergy W,"8.999,99 RSD",https://planetasport.rs/cizme-synergy-w-44779-csnt.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/4/44779-csnt.jpg?v=88d74ee2a3']
PROBALL Koš sa konstrukcijom portable basketball stand U,"39.999,99 RSD",https://planetasport.rs/kos-sa-konstrukcijom-portable-basketball-stand-u-cd-b100.html,['-34%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/c/d/cd-b100.jpg?v=f81884741b']
ADIDAS Patike vl court bold W,"9.599,99 RSD",https://planetasport.rs/patike-vl-court-bold-w-ih3083.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/h/ih3083.jpg?v=36e28f94c6']
SERGIO TACCHINI Jakna ruby W,"14.999,99 RSD",https://planetasport.rs/sergio-tacchini-jakna-ruby-w-sta243f563-52.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/s/t/sta243f563-52.jpg?v=df946540a2']
RANG Jakna dara jacket W,"12.999,99 RSD",https://planetasport.rs/rang-rang-jakna-dara-jacket-w-f249w05-02.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/2/f249w05-02.jpg?v=675750e72f']
RUPUMPACK Ski pantalone ladies ski pants W,"7.999,99 RSD",https://planetasport.rs/ski-pantalone-ladies-ski-pants-w-2101p-30.html,['-69%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/1/2101p-30.jpg?v=116da78905']
SKECHERS Cipele park city W,"10.999,99 RSD",https://planetasport.rs/skechers-cipele-park-city-w-168087-bbk.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/6/168087-bbk.jpg?v=07fa064cc7']
SPALDING Spalding lopta oficijalna euroleague tf-1000 7 U,"14.999,99 RSD",https://planetasport.rs/lopta-oficijalna-euroleague-tf-1000-7-u-77-100z.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/7/77-100z.jpg?v=0bc7f5530a']
WINTRO Jakna helen jacket W,"10.999,99 RSD",https://planetasport.rs/wintro-wintro-jakna-helen-jacket-w-wia243f503-01.html,"['-40%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wia243f503-01.jpg?v=d7e7a43e46']
WINTRO Cipele agna W,"8.999,99 RSD",https://planetasport.rs/wintro-cipele-agna-gg-wif243f303-1u.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243f303-1u.jpg?v=efa1831d0d']
KANDER Čizme ka W,"10.499,99 RSD",https://planetasport.rs/cizme-ka-w-kaf233f300-16.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf233f300-16.jpg?v=69f15a958b']
ACTION Roleri cole GG,"6.599,99 RSD",https://planetasport.rs/roleri-cole-gg-pw117-bpu.html,"['-13%', '-26%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw117-bpu.jpg?v=6bd0c9caa9']
SKECHERS Čizme synergy W,"8.999,99 RSD",https://planetasport.rs/cizme-synergy-w-44779-bbk.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/4/44779-bbk.jpg?v=b9c37b71ca']
SKECHERS Cipele ultra flex 2.0 W,"9.999,99 RSD",https://planetasport.rs/cipele-ultra-flex-2-0-w-167449-blk.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/6/167449-blk.jpg?v=46e1e62e76']
WINTRO Čizme leah W,"9.999,99 RSD",https://planetasport.rs/wintro-cizme-leah-w-wif243f306-62.html,"['-38%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243f306-62.jpg?v=37550867f3']
LONSDALE Steznik za skocni zglob lnsd wvn ankle sup00 4 black U,"699,99 RSD",https://planetasport.rs/steznik-za-skocni-zglob-lnsd-wvn-ankle-sup00-4-black-u-700001-03.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/0/700001-03.jpg?v=a8f5a5b4db']
UNDER ARMOUR duks sa kapuljačom ua rival fleece big logo hdy W,"6.699,99 RSD",https://planetasport.rs/duks-sa-kapuljacom-ua-rival-fleece-big-logo-hdy-w-1379501-001.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/3/1379501-001.jpg?v=889d2ebb50']
RANG Majica dug rukav leilany W,"2.999,99 RSD",https://planetasport.rs/majica-dug-rukav-leilany-w-f231w01-24d.html,"['-50%', '-38%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/2/f231w01-24d.jpg?v=07549bf5db']
RANG Majica dug rukav ziya W,"3.499,99 RSD",https://planetasport.rs/majica-dug-rukav-ziya-w-f231w07-98d.html,"['-25%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/2/f231w07-98d.jpg?v=1f5825b7fd']
RANG Majica dug rukav viviana W,"2.999,99 RSD",https://planetasport.rs/majica-dug-rukav-viviana-w-f231w02-02d.html,"['-38%', '-46%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/2/f231w02-02d.jpg?v=526f99e935']
LONSDALE Rukavice lnsd pro training gloves 00 blk 10 oz U,"6.499,99 RSD",https://planetasport.rs/rukavice-lnsd-pro-training-gloves-00-blk-10-oz-u-762207-40.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/6/762207-40.jpg?v=5966d72757']
RANG Patike ava W,"6.499,99 RSD",https://planetasport.rs/rang-patike-ava-w-ywf23103-0296.html,"['-30%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/y/w/ywf23103-0296.jpg?v=4c1cd2b043']
