name,price,link,discounts,product-image
ADIDAS Cipele terrex hyperhiker mid k BG,"8.399,99 RSD",https://planetasport.rs/cipele-terrex-hyperhiker-mid-k-bg-if5700.html,['-33%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if5700.jpg?v=eab92d5627']
ACTION Klizaljke hard shell ice skate GG,"5.499,99 RSD",https://planetasport.rs/klizaljke-hard-shell-ice-skate-gg-pw-219-wht.html,['-30%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw-219-wht.jpg?v=8312328992']
KANDER Čizme elbrus GP,"8.999,99 RSD",https://planetasport.rs/cizme-elbrus-gp-kaf233g301-75.html,"['-44%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf233g301-75.jpg?v=1faa387e32']
ACTION Klizaljke adjustable ice skate GG,"6.599,99 RSD",https://planetasport.rs/klizaljke-adjustable-ice-skate-gg-pw-223b-163.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw-223b-163.jpg?v=d9e7f5c712']
KANDER Cipele fogo BP,"8.999,99 RSD",https://planetasport.rs/cipele-fogo-bp-kaf233b202-62.html,"['-31%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf233b202-62.jpg?v=eaec905b47']
ACTION Klizaljke hard shell ice skate BG,"5.499,99 RSD",https://planetasport.rs/klizaljke-hard-shell-ice-skate-bg-pw-219-blk.html,['-30%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/w/pw-219-blk.jpg?v=29339db6e4']
ADIDAS Cipele terrex mid gtx i BT,"9.599,99 RSD",https://planetasport.rs/cipele-terrex-mid-gtx-i-bt-hp7419.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/p/hp7419.jpg?v=83d0e15ade']
ADIDAS Cipele terrex winter mid b BG,"12.999,99 RSD",https://planetasport.rs/cipele-terrex-winter-mid-b-bg-fu7272.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/u/fu7272.jpg?v=7c73d84c27']
KANDER Cipele nobs BPG,"8.499,99 RSD",https://planetasport.rs/kander-kander-cipele-nobs-bpg-kaf243b202-28.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf243b202-28.jpg?v=f85507a90c']
KANDER Čizme richie BT,"6.999,99 RSD",https://planetasport.rs/kander-cizme-richie-bt-kaf243b213-02.html,"['-30%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf243b213-02.jpg?v=c627dafde8']
WINTRO Čizme astrid GP,"7.499,99 RSD",https://planetasport.rs/wintro-cizme-astrid-gp-wif243g309-1u.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243g309-1u.jpg?v=a14cd82113']
WINTRO Skafander waldo jumpsuit BG,"11.999,99 RSD",https://planetasport.rs/skafander-waldo-jumpsuit-bg-wia233b002-20.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wia233b002-20.jpg?v=25bbb73c81']
RANG Čizme ari BP,"7.499,99 RSD",https://planetasport.rs/cizme-ari-bp-xpf22103-02.html,['-53%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/x/p/xpf22103-02.jpg?v=ffa6cf7422']
WINTRO Jakna frey b jacket BG,"9.499,99 RSD",https://planetasport.rs/wintro-wintro-jakna-frey-b-jacket-bg-wia243b501-01.html,"['-40%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wia243b501-01.jpg?v=fc22ef28a0']
RANG Čizme kit BP,"7.499,99 RSD",https://planetasport.rs/cizme-kit-bp-xpf24101-58.html,['-30%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/x/p/xpf24101-58.jpg?v=a447a25446']
